2022-07-01 18:16:53,025 INFO    Thread-11 :34136 [dir_watcher.py:_on_file_created():256] file/dir created: C:\Users\marce\OneDrive - Escuela Superior Politécnica del Litoral\GitHub Repositories\ml-devops-engineering\reproducible-model-workflow\exercise_4\wandb\run-20220701_181648-2armbnzn\files\output.log
2022-07-01 18:16:53,026 INFO    Thread-11 :34136 [dir_watcher.py:_on_file_created():256] file/dir created: C:\Users\marce\OneDrive - Escuela Superior Politécnica del Litoral\GitHub Repositories\ml-devops-engineering\reproducible-model-workflow\exercise_4\wandb\run-20220701_181648-2armbnzn\files\requirements.txt
2022-07-01 18:16:53,298 INFO    Thread-25 :34136 [upload_job.py:push():132] Uploaded file C:\Users\marce\AppData\Local\Temp\tmparn75lgiwandb\1w543skm-wandb-metadata.json
2022-07-01 18:16:55,622 INFO    Thread-26 :34136 [upload_job.py:push():132] Uploaded file C:\Users\marce\AppData\Local\Temp\tmparn75lgiwandb\10zoilkz-diff.patch
2022-07-01 18:16:56,946 INFO    Thread-28 :34136 [upload_job.py:push():90] Uploaded file C:\Users\marce\.cache\wandb\artifacts\obj\md5\69\57fbde60ae400e4ada61fb599baa36
2022-07-01 18:16:58,349 INFO    SenderThread:34136 [sender.py:send_request_log_artifact():1006] logged artifact source-2armbnzn - {'id': 'QXJ0aWZhY3Q6MTUxNTYzNzkw', 'digest': '04675ba8a1b6544a7f58c4838b49ce07', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjIzNDkxMzA0', 'latestArtifact': None}, 'version': 'latest'}
2022-07-01 18:16:58,349 DEBUG   SenderThread:34136 [sender.py:send():235] send: stats
2022-07-01 18:17:05,544 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: resume
2022-07-01 18:17:05,545 INFO    HandlerThread:34136 [handler.py:handle_request_resume():686] starting system metrics thread
2022-07-01 18:17:07,673 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: stop_status
2022-07-01 18:17:07,673 DEBUG   SenderThread:34136 [sender.py:send_request():249] send_request: stop_status
2022-07-01 18:17:08,008 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: log_artifact
2022-07-01 18:17:08,010 DEBUG   HandlerThread:34136 [handler.py:handle_request():141] handle_request: pause
2022-07-01 18:17:08,010 INFO    HandlerThread:34136 [handler.py:handle_request_pause():695] stopping system metrics thread
2022-07-01 18:17:08,022 DEBUG   SenderThread:34136 [sender.py:send_request():249] send_request: log_artifact
